Scenario ID,Intent,Model_A_Fact_Score,Model_B_Fact_Score,Model_A_Tone_Score,Model_B_Tone_Score,Model_A_Structure_Score,Model_B_Structure_Score
1,Follow up after job interview,100.0,0.0,40.0,0.0,100.0,20.0
2,Request deadline extension for project,100.0,0.0,40.0,0.0,100.0,20.0
3,Decline meeting invitation politely,100.0,25.0,0.0,0.0,100.0,20.0
4,Introduce new team member to clients,100.0,0.0,20.0,0.0,100.0,20.0
5,Report bug in production system,100.0,25.0,40.0,0.0,100.0,20.0
6,Request budget approval for software license,100.0,0.0,40.0,0.0,100.0,20.0
7,Apologize for delayed response to client,75.0,0.0,60.0,0.0,100.0,20.0
8,Invite colleague to lunch for networking,100.0,0.0,40.0,20.0,100.0,20.0
9,Confirm attendance at conference,100.0,25.0,20.0,0.0,100.0,20.0
10,Resignation letter,100.0,0.0,60.0,20.0,100.0,20.0
